image	sample.number	CO2	Tray	Species	plant	tissue	vessel_no	Area	Mean	IntDen	RawIntDen	radius	diameter	notes	MaxVessel
75A_4x	75	ele	6	Sly	1	primary	33	986.02	187.801	185175.491	124512	17.71609195	35.4321839		55
75A_4x	75	ele	6	Sly	1	primary	34	3323.914	216.756	720478.882	484450	32.52744514	65.05489027		55
75A_4x	75	ele	6	Sly	1	primary	35	3097.858	217.953	675187.388	453996	31.4018921	62.8037842		55
75A_4x	75	ele	6	Sly	1	primary	36	3313.504	179.723	595513.087	400423	32.47646965	64.95293931		55
75A_4x	75	ele	6	Sly	1	primary	37	1685.009	166.975	281354.848	189183	23.15933987	46.31867973		55
75A_4x	75	ele	6	Sly	1	primary	38	3022.011	173.793	525205.235	353148	31.01509274	62.03018547		55
75A_4x	75	ele	6	Sly	1	primary	39	5865.556	107.746	631989.887	424950	43.20954134	86.41908268		55
75A_4x	75	ele	6	Sly	1	primary	40	3249.554	137.814	447833.135	301123	32.16154791	64.32309582		55
75A_4x	75	ele	6	Sly	1	primary	41	5200.773	174.647	908301.606	610742	40.68731328	81.37462655		55
75A_4x	75	ele	6	Sly	1	primary	42	7327.484	179.219	1313227.246	883014	48.29503699	96.59007398		55
75A_4x	75	ele	6	Sly	1	primary	43	2590.72	182.703	473332.838	318269	28.71675101	57.43350201		55
75A_4x	75	ele	6	Sly	1	primary	44	3677.87	179.417	659872.1	443698	34.21552836	68.43105672		55
75A_4x	75	ele	6	Sly	1	primary	45	5571.089	111.75	622569.899	418616	42.11095707	84.22191414		55
75A_4x	75	ele	6	Sly	1	primary	46	7220.405	139.187	1004983.641	675751	47.94086246	95.88172493		55
75A_4x	75	ele	6	Sly	1	primary	47	941.404	209.761	197470.256	132779	17.31063835	34.6212767		55
75A_4x	75	ele	6	Sly	1	primary	48	4103.212	187.741	770340.571	517977	36.13990792	72.27981585		55
75A_4x	75	ele	6	Sly	1	primary	49	773.349	109.704	84839.381	57046	15.68963455	31.37926909		55
75A_4x	75	ele	6	Sly	1	primary	50	1158.537	141.14	163515.764	109948	19.20348355	38.40696711		55
75A_4x	75	ele	6	Sly	1	primary	51	4170.137	216.594	903227.246	607330	36.43344389	72.86688778		55
75A_4x	75	ele	6	Sly	1	primary	52	1610.648	99.544	160330.161	107806	22.64255245	45.2851049		55
75A_4x	75	ele	6	Sly	1	primary	53	660.321	139.797	92311.124	62070	14.49781716	28.99563432		55
75A_4x	75	ele	6	Sly	1	primary	55	353.956	104.584	37018.144	24891	10.61450395	21.2290079		55
76B_10x	76	ele	6	Sly	1	lateral	3	494.953	176.906	87560.12	373979	12.55182987	25.10365974		7
76B_10x	76	ele	6	Sly	1	lateral	4	3675.624	212.783	782111.941	3340487	34.2050794	68.41015881		7
76B_10x	76	ele	6	Sly	1	lateral	5	1527.94	165.254	252498.699	1078450	22.05353503	44.10707007		7
76B_10x	76	ele	6	Sly	1	lateral	6	3364.698	221.353	744786.056	3181064	32.72639053	65.45278107		7
76B_10x	76	ele	6	Sly	1	lateral	7	2008.845	176.015	353586.681	1510208	25.28705644	50.57411288		7
77A_10x	77	amb	6	Spe	1	primary	1	5514.958	215.736	1189777.055	5081670	41.89827745	83.7965549		17
77A_10x	77	amb	6	Spe	1	primary	2	7256.894	217.299	1576913.319	6735172	48.06184665	96.1236933		17
77A_10x	77	amb	6	Spe	1	primary	3	1810.536	196.54	355841.831	1519840	24.00648887	48.01297775		17
77A_10x	77	amb	6	Spe	1	primary	4	3676.093	208.317	765794.173	3270792	34.20726157	68.41452315		17
77A_10x	77	amb	6	Spe	1	primary	5	657.908	175.395	115393.861	492860	14.47130335	28.9426067		17
77A_10x	77	amb	6	Spe	1	primary	6	352.367	146.677	51684.209	220749	10.59065152	21.18130304		17
77A_10x	77	amb	6	Spe	1	primary	7	735.874	195.549	143899.089	614609	15.30476949	30.60953898		17
77A_10x	77	amb	6	Spe	1	primary	9	436.889	136.988	59848.361	255619	11.79262854	23.58525708		17
77A_10x	77	amb	6	Spe	1	primary	11	377.888	113.458	42874.558	183122	10.96747402	21.93494803		17
77A_10x	77	amb	6	Spe	1	primary	12	330.827	91.815	30374.766	129734	10.26184704	20.52369408		17
77A_10x	77	amb	6	Spe	1	primary	13	663.293	120.546	79957.18	341506	14.53040672	29.06081343		17
